Tittle,Info
APPLEPara gráficos de 4H e inferiores a 4H.,"APPLEesta en una tendencia alcista de largo plazo. La media móvil de doscientos periodos también es claramente alcista.APPLEactualmente se encuentra en una consolidación habiendo quedado estancado en una resistencia que de momento no logra traspasar que es la de los 148.00. El indicador RSI nos indica que en esta consolidación, se está comprando acciones de..."
APPLEALCISTA O DOBLE TECHO,"APPLENOS DA 2 CONCEPTOS ALCISTA O BAJISTA LAMENTABLEMENTE SE DEBE DE DECIR PUEDE SUBIR O PUEDE BAJAR PERO ES QUE ASTA QUE NO CUMPLA UNO DE LOS MOVIMIENTOS INTERNOS DE RUPTURA NO SE PUEDE SABER , RUPTURA ABAJO PUEDE SER UNA CAMBIO DE PENDIENTE EN TENDENCIA QUEDRIA LINEA AZUL , PERO CON EL MATIZ DE RUPTURA Y POSIBLE DOBLETECHO LA CLAVE SOLO ES ROMPER DENTRO AL ALZA..."
APPLEINC (AAPL).. yendo a buscar maximos.,APPLEINC (AAPL).. dio confirmación en la mediana y ahora yendo a buscar nuevos máximos históricos.
APPLE(AAP).. queriendo romper mediana para ir a buscar máximos,"APPLE(AAPL).. Esta queriendo romper Mediana para ir a buscar máximos, intento un para de veces y reboto. Vamos a ver como arranca el lunes porque realmente viene muy bien: encima de la MA 20, Afuera de Kumo, Tenkan arriba de C, Chikou por encima del precio (Ichimoku).. también teniendo en cuenta 2do Fibo rebotando en 0.38 con muy buen Volumen. RSI por encima de..."
APPLEpara gráfico de 1H,"el precio de APPEL está en máximos históricos, y ha superado un patrón de bandera bajista, de carácter alcista. Se ve en el precio una tendencia claramente alcista, aunque ahora se ha lateralizado un poco. El indicador MACD, nos muestra una figura chartista de canal alcista, y tenemos que esperar ahora que el precio rebote al alza superando la resistencia de los..."
Apple(Análisis) II,"En este gráfico planteo queApplese encuentra cerca de un canal importante en el cual encontrara una fuerte resistencia. 
La situación en la que se encuentra actualmente dará confirmación de entrada una vez que el movimiento se genere. 
El precio viene de un impulso de Ondas de elliot 1-2-3-4-5 lo lógico seria que exista una corrección en a-b-c, la operativa..."
APPLEpara gráfico diario y gráficos inferiores a diario.,"El precio deAPPLEestá haciendo una corrección. Su tendencia es alcista, en máximos históricos. El precio en su corrección, llegó a rebotar en el nivel fibonacci 0,38 hasta quedar actualmente en el soporte del nivel 0,61. Como que ya tenemos claro que estamos en una corrección, debemos esperar a que MACD gire al alza, y el precio deAPPLErebote claramente hacia..."
APPLECOMPRA,"APPLEACABA DE LLEGAR AL PUNTO 0.78 DE FIBO, DESDE QUE HUBO EL SPLINT, HA SIDO SU GRAN RETROCESO QUE HACE CONFLUENCIA CON UNA LINEA DE TENDENCIA DIAGONAL QUE RESPETA DESDE MARZO. A PARTIR DE AHI, ESPECULO QUE SUBE AL PUNTO MAS PROXIMO, EL 0.38. PARA LUEGO IR SUBIENDO, PERSONALMENTE, CIERRO LA COMPRA EN EL PUNTO 61 Y ESPERO A VER QUE ES LO QUE HACE EL MERCADO PARA..."
APPLEINC. 4H,"La situación deApplees desastrosa después de las últimas noticias acontecidas sobre la empresa, pero recordemos que se trata deApple, hay muchas personas que intentarán evitar que siga cayendo y de momento el análisis técnico nos muestra una corrección del precio hasta niveles de 38.2% de fibbonacci, si queremos ser prudentes, zona donde colocaremos nuestro..."
#APPLEBullish Breakout $APPL,"Hoy en la aperturaApplerompió al alza el promedio móvil de 50 días y se activaron nuestras compras. Cierra la sesión haciendo Breakout en el rango de tendencia bajista. (En Elliot Wave se conoce como formación en plano de onda 4)

Mientras se mantenga arriba del triángulo simétrico, el objetivo alcista está en 155 usd. 

Colocamos stop loss en 106 usd."
APPLEINC. (AAPL).. RETROCESO FIBO,"APPLEINC. (AAPL).. no para de marcar máximos, ahora retrocediendo con fibo para ir a buscar techo de canal. HERMOSO PAPEL"
APPLE(AAPL).. hermosa como siempre,"APPLE( AAPL ).. Vamos a ver como cierra pero superando uno de sus precios que le cuesta (el rango de los U$313 a U$327 le costo bastante). Muchos dias de subas, pero con porcentajes mínimos. Pero siempre al pie del cañón, linda empresa."
APPLE(AAPL).. Le esta costando mucho superar los U$320,"APPLE(AAPL).. Le esta costando mucho superar la barrera de los U$320, vamos a ver como arranca el lunes (ya sea con un gap alcista) o la veremos de nuevo cerca de los U$300."
APPLESELL,APPLESELL
APPLEEN LA DIRECTRIZ ALCISTA,"Appleha caído cerca de un 20% a raíz de la presentación de resultados y se encuentra en un buen punto de compra, apoyandose en la directriz alcista que ha testeado en 2 ocasiones"
APPLEINC a rebotar al alza !!!,"Hola traders

Tras caer de su maximo historico de $156,64 a una zona de soporte testeado por dos minimos alrededor de $142,50, la accion deApplepodria rebotar ademas de estar en linea con una SMA 200 y 28 que logicamente estarian actuando como niveles dinamicos de rebote para el precio de la accion.

Por otro lado se evidencia claramente un movimiento divergente..."
¿Es hora de remontar?:Apple.,"Apple, la compañía que no tenía techo, lo encontró en octubre del año pasado, en los 231$. Empezó a desplomarse tres meses lastrado por los resultados, disminución de ventas del iPhone y el aumento de ventas de la competencia. Encontró el fondo del pozo a final de año para comenzar el 2019 subiendo como la espuma. Y a día de hoy se encuentra en un triángulo que..."
APPLE,"Buenas tardes espero que estén bien.
Les presento el análisis deAppletomando como referencia el medio plazo.
Les invito a ver mis anteriores ideas deapple, y miren como ayudan soportes y resistencias.
Tenemos una clara tendencia alcista, manteniendo una buena tendencia y esta está a su vez en armonía con soportes y resistencias. 
Eso si hay que tener cuidado a..."
